index,time_ns,time_us,phase,model_cycle,operation_cycle,clk,rstn,cmd,data_in,valid_out,data_out,state
53,108000,108.000,CFG_DEFAULT_READ_TOTAL,54,39,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
54,110000,110.000,CFG_DEFAULT_READ_TOTAL,55,40,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
55,112000,112.000,CFG_DEFAULT_READ_TOTAL,56,41,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
56,114000,114.000,CFG_DEFAULT_READ_TOTAL,57,42,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
57,116000,116.000,CFG_DEFAULT_READ_TOTAL,58,43,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
58,118000,118.000,CFG_DEFAULT_READ_TOTAL,59,44,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
59,120000,120.000,CFG_DEFAULT_READ_TOTAL,60,45,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
60,122000,122.000,CFG_DEFAULT_READ_TOTAL,61,46,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
61,124000,124.000,CFG_DEFAULT_READ_TOTAL,62,47,0,1,0,0x00,0,0x00,READ_CFG_TOTAL
62,126000,126.000,CFG_DEFAULT_READ_TOTAL,63,0,0,1,0,0x00,0,0x00,IDLE
63,128000,128.000,CFG_DEFAULT_READ_TOTAL,64,0,0,1,0,0x00,0,0x00,IDLE
64,130000,130.000,CFG_DEFAULT_READ_TOTAL,65,0,0,1,0,0x00,0,0x00,IDLE
65,132000,132.000,CFG_SINGLE_WRITE_READ,66,0,0,1,0,0x00,0,0x00,IDLE
66,134000,134.000,CFG_SINGLE_WRITE_READ,67,0,0,1,0,0x00,0,0x00,IDLE
67,136000,136.000,CFG_SINGLE_WRITE_READ,68,0,0,1,0,0x00,0,0x00,IDLE
68,138000,138.000,CFG_SINGLE_WRITE_READ,69,0,0,1,1,0x0E,0,0x00,WRITE_CFG_MODE
69,140000,140.000,CFG_SINGLE_WRITE_READ,70,1,0,1,0,0x00,0,0xE0,WRITE_CFG_SINGLE_ADDR
70,142000,142.000,CFG_SINGLE_WRITE_READ,71,2,0,1,0,0x00,0,0xE1,WRITE_CFG_SINGLE_VALUE
71,144000,144.000,CFG_SINGLE_WRITE_READ,72,3,0,1,0,0x5A,0,0xE2,WRITE_CFG_SINGLE_DONE
72,146000,146.000,CFG_SINGLE_WRITE_READ,73,0,0,1,0,0x00,0,0x00,IDLE
73,148000,148.000,CFG_SINGLE_WRITE_READ,74,0,0,1,0,0x00,0,0x00,IDLE
74,150000,150.000,CFG_SINGLE_WRITE_READ,75,0,0,1,0,0x00,0,0x00,IDLE
75,152000,152.000,CFG_SINGLE_WRITE_READ,76,0,0,1,0,0x00,0,0x00,IDLE
76,154000,154.000,CFG_SINGLE_WRITE_READ,77,0,0,1,0,0x00,0,0x00,IDLE
77,156000,156.000,CFG_SINGLE_WRITE_READ,78,0,0,1,0,0x00,0,0x00,IDLE
78,158000,158.000,CFG_SINGLE_WRITE_READ,79,0,0,1,1,0x0F,0,0x00,READ_CFG_MODE
79,160000,160.000,CFG_SINGLE_WRITE_READ,80,1,0,1,0,0x00,0,0xF0,READ_CFG_SINGLE_ADDR
80,162000,162.000,CFG_SINGLE_WRITE_READ,81,2,0,1,0,0x00,1,0x5A,READ_CFG_SINGLE_DONE
81,164000,164.000,CFG_SINGLE_WRITE_READ,82,0,0,1,0,0x00,0,0x00,IDLE
82,166000,166.000,CFG_SINGLE_WRITE_READ,83,0,0,1,0,0x00,0,0x00,IDLE
83,168000,168.000,CFG_SINGLE_WRITE_READ,84,0,0,1,0,0x00,0,0x00,IDLE
84,170000,170.000,CFG_TOTAL_WRITE_READ,85,0,0,1,0,0x00,0,0x00,IDLE
85,172000,172.000,CFG_TOTAL_WRITE_READ,86,0,0,1,0,0x00,0,0x00,IDLE
86,174000,174.000,CFG_TOTAL_WRITE_READ,87,0,0,1,0,0x00,0,0x00,IDLE
87,176000,176.000,CFG_TOTAL_WRITE_READ,88,0,0,1,1,0x0E,0,0x00,WRITE_CFG_MODE
88,178000,178.000,CFG_TOTAL_WRITE_READ,89,1,0,1,0,0x01,0,0xE0,WRITE_CFG_TOTAL
89,180000,180.000,CFG_TOTAL_WRITE_READ,90,2,0,1,0,0x55,0,0x00,WRITE_CFG_TOTAL
90,182000,182.000,CFG_TOTAL_WRITE_READ,91,3,0,1,0,0xAA,0,0x01,WRITE_CFG_TOTAL
91,184000,184.000,CFG_TOTAL_WRITE_READ,92,4,0,1,0,0x55,0,0x02,WRITE_CFG_TOTAL
92,186000,186.000,CFG_TOTAL_WRITE_READ,93,5,0,1,0,0xAA,0,0x03,WRITE_CFG_TOTAL
93,188000,188.000,CFG_TOTAL_WRITE_READ,94,6,0,1,0,0x55,0,0x04,WRITE_CFG_TOTAL
94,190000,190.000,CFG_TOTAL_WRITE_READ,95,7,0,1,0,0xAA,0,0x05,WRITE_CFG_TOTAL
95,192000,192.000,CFG_TOTAL_WRITE_READ,96,8,0,1,0,0x55,0,0x06,WRITE_CFG_TOTAL
96,194000,194.000,CFG_TOTAL_WRITE_READ,97,9,0,1,0,0xAA,0,0x07,WRITE_CFG_TOTAL
97,196000,196.000,CFG_TOTAL_WRITE_READ,98,10,0,1,0,0x55,0,0x08,WRITE_CFG_TOTAL
98,198000,198.000,CFG_TOTAL_WRITE_READ,99,11,0,1,0,0xAA,0,0x09,WRITE_CFG_TOTAL
99,200000,200.000,CFG_TOTAL_WRITE_READ,100,12,0,1,0,0x55,0,0x0A,WRITE_CFG_TOTAL
100,202000,202.000,CFG_TOTAL_WRITE_READ,101,13,0,1,0,0xAA,0,0x0B,WRITE_CFG_TOTAL
101,204000,204.000,CFG_TOTAL_WRITE_READ,102,14,0,1,0,0x55,0,0x0C,WRITE_CFG_TOTAL
102,206000,206.000,CFG_TOTAL_WRITE_READ,103,15,0,1,0,0xAA,0,0x0D,WRITE_CFG_TOTAL
103,208000,208.000,CFG_TOTAL_WRITE_READ,104,16,0,1,0,0x55,0,0x0E,WRITE_CFG_TOTAL
104,210000,210.000,CFG_TOTAL_WRITE_READ,105,17,0,1,0,0xAA,0,0x0F,WRITE_CFG_TOTAL
105,212000,212.000,CFG_TOTAL_WRITE_READ,106,18,0,1,0,0x55,0,0x10,WRITE_CFG_TOTAL
106,214000,214.000,CFG_TOTAL_WRITE_READ,107,19,0,1,0,0xAA,0,0x11,WRITE_CFG_TOTAL
107,216000,216.000,CFG_TOTAL_WRITE_READ,108,20,0,1,0,0x55,0,0x12,WRITE_CFG_TOTAL
108,218000,218.000,CFG_TOTAL_WRITE_READ,109,21,0,1,0,0xAA,0,0x13,WRITE_CFG_TOTAL
109,220000,220.000,CFG_TOTAL_WRITE_READ,110,22,0,1,0,0x55,0,0x14,WRITE_CFG_TOTAL
110,222000,222.000,CFG_TOTAL_WRITE_READ,111,23,0,1,0,0xAA,0,0x15,WRITE_CFG_TOTAL
111,224000,224.000,CFG_TOTAL_WRITE_READ,112,24,0,1,0,0x55,0,0x16,WRITE_CFG_TOTAL
112,226000,226.000,CFG_TOTAL_WRITE_READ,113,25,0,1,0,0xAA,0,0x17,WRITE_CFG_TOTAL
113,228000,228.000,CFG_TOTAL_WRITE_READ,114,26,0,1,0,0x55,0,0x18,WRITE_CFG_TOTAL
114,230000,230.000,CFG_TOTAL_WRITE_READ,115,27,0,1,0,0xAA,0,0x19,WRITE_CFG_TOTAL
115,232000,232.000,CFG_TOTAL_WRITE_READ,116,28,0,1,0,0x55,0,0x1A,WRITE_CFG_TOTAL
116,234000,234.000,CFG_TOTAL_WRITE_READ,117,29,0,1,0,0xAA,0,0x1B,WRITE_CFG_TOTAL
117,236000,236.000,CFG_TOTAL_WRITE_READ,118,30,0,1,0,0x55,0,0x1C,WRITE_CFG_TOTAL
118,238000,238.000,CFG_TOTAL_WRITE_READ,119,31,0,1,0,0xAA,0,0x1D,WRITE_CFG_TOTAL
119,240000,240.000,CFG_TOTAL_WRITE_READ,120,32,0,1,0,0x55,0,0x1E,WRITE_CFG_TOTAL
120,242000,242.000,CFG_TOTAL_WRITE_READ,121,33,0,1,0,0xAA,0,0x1F,WRITE_CFG_TOTAL
121,244000,244.000,CFG_TOTAL_WRITE_READ,122,34,0,1,0,0x55,0,0x20,WRITE_CFG_TOTAL
122,246000,246.000,CFG_TOTAL_WRITE_READ,123,35,0,1,0,0xAA,0,0x21,WRITE_CFG_TOTAL
123,248000,248.000,CFG_TOTAL_WRITE_READ,124,36,0,1,0,0x55,0,0x22,WRITE_CFG_TOTAL
