index,time_ns,time_us,phase,model_cycle,operation_cycle,clk,rstn,cmd,data_in,valid_out,data_out,state
56,54000,54.000,CFG_DEFAULT_READ_TOTAL,27,12,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
57,55000,55.000,CFG_DEFAULT_READ_TOTAL,28,13,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
58,56000,56.000,CFG_DEFAULT_READ_TOTAL,28,13,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
59,57000,57.000,CFG_DEFAULT_READ_TOTAL,29,14,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
60,58000,58.000,CFG_DEFAULT_READ_TOTAL,29,14,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
61,59000,59.000,CFG_DEFAULT_READ_TOTAL,30,15,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
62,60000,60.000,CFG_DEFAULT_READ_TOTAL,30,15,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
63,61000,61.000,CFG_DEFAULT_READ_TOTAL,31,16,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
64,62000,62.000,CFG_DEFAULT_READ_TOTAL,31,16,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
65,63000,63.000,CFG_DEFAULT_READ_TOTAL,32,17,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
66,64000,64.000,CFG_DEFAULT_READ_TOTAL,32,17,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
67,65000,65.000,CFG_DEFAULT_READ_TOTAL,33,18,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
68,66000,66.000,CFG_DEFAULT_READ_TOTAL,33,18,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
69,67000,67.000,CFG_DEFAULT_READ_TOTAL,34,19,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
70,68000,68.000,CFG_DEFAULT_READ_TOTAL,34,19,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
71,69000,69.000,CFG_DEFAULT_READ_TOTAL,35,20,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
72,70000,70.000,CFG_DEFAULT_READ_TOTAL,35,20,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
73,71000,71.000,CFG_DEFAULT_READ_TOTAL,36,21,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
74,72000,72.000,CFG_DEFAULT_READ_TOTAL,36,21,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
75,73000,73.000,CFG_DEFAULT_READ_TOTAL,37,22,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
76,74000,74.000,CFG_DEFAULT_READ_TOTAL,37,22,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
77,75000,75.000,CFG_DEFAULT_READ_TOTAL,38,23,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
78,76000,76.000,CFG_DEFAULT_READ_TOTAL,38,23,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
79,77000,77.000,CFG_DEFAULT_READ_TOTAL,39,24,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
80,78000,78.000,CFG_DEFAULT_READ_TOTAL,39,24,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
81,79000,79.000,CFG_DEFAULT_READ_TOTAL,40,25,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
82,80000,80.000,CFG_DEFAULT_READ_TOTAL,40,25,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
83,81000,81.000,CFG_DEFAULT_READ_TOTAL,41,26,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
84,82000,82.000,CFG_DEFAULT_READ_TOTAL,41,26,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
85,83000,83.000,CFG_DEFAULT_READ_TOTAL,42,27,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
86,84000,84.000,CFG_DEFAULT_READ_TOTAL,42,27,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
87,85000,85.000,CFG_DEFAULT_READ_TOTAL,43,28,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
88,86000,86.000,CFG_DEFAULT_READ_TOTAL,43,28,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
89,87000,87.000,CFG_DEFAULT_READ_TOTAL,44,29,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
90,88000,88.000,CFG_DEFAULT_READ_TOTAL,44,29,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
91,89000,89.000,CFG_DEFAULT_READ_TOTAL,45,30,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
92,90000,90.000,CFG_DEFAULT_READ_TOTAL,45,30,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
93,91000,91.000,CFG_DEFAULT_READ_TOTAL,46,31,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
94,92000,92.000,CFG_DEFAULT_READ_TOTAL,46,31,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
95,93000,93.000,CFG_DEFAULT_READ_TOTAL,47,32,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
96,94000,94.000,CFG_DEFAULT_READ_TOTAL,47,32,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
97,95000,95.000,CFG_DEFAULT_READ_TOTAL,48,33,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
98,96000,96.000,CFG_DEFAULT_READ_TOTAL,48,33,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
99,97000,97.000,CFG_DEFAULT_READ_TOTAL,49,34,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
100,98000,98.000,CFG_DEFAULT_READ_TOTAL,49,34,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
101,99000,99.000,CFG_DEFAULT_READ_TOTAL,50,35,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
102,100000,100.000,CFG_DEFAULT_READ_TOTAL,50,35,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
103,101000,101.000,CFG_DEFAULT_READ_TOTAL,51,36,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
104,102000,102.000,CFG_DEFAULT_READ_TOTAL,51,36,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
105,103000,103.000,CFG_DEFAULT_READ_TOTAL,52,37,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
106,104000,104.000,CFG_DEFAULT_READ_TOTAL,52,37,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
107,105000,105.000,CFG_DEFAULT_READ_TOTAL,53,38,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
108,106000,106.000,CFG_DEFAULT_READ_TOTAL,53,38,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
109,107000,107.000,CFG_DEFAULT_READ_TOTAL,54,39,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
110,108000,108.000,CFG_DEFAULT_READ_TOTAL,54,39,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
111,109000,109.000,CFG_DEFAULT_READ_TOTAL,55,40,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
112,110000,110.000,CFG_DEFAULT_READ_TOTAL,55,40,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
113,111000,111.000,CFG_DEFAULT_READ_TOTAL,56,41,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
114,112000,112.000,CFG_DEFAULT_READ_TOTAL,56,41,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
115,113000,113.000,CFG_DEFAULT_READ_TOTAL,57,42,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
116,114000,114.000,CFG_DEFAULT_READ_TOTAL,57,42,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
117,115000,115.000,CFG_DEFAULT_READ_TOTAL,58,43,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
118,116000,116.000,CFG_DEFAULT_READ_TOTAL,58,43,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
119,117000,117.000,CFG_DEFAULT_READ_TOTAL,59,44,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
120,118000,118.000,CFG_DEFAULT_READ_TOTAL,59,44,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
121,119000,119.000,CFG_DEFAULT_READ_TOTAL,60,45,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
122,120000,120.000,CFG_DEFAULT_READ_TOTAL,60,45,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
123,121000,121.000,CFG_DEFAULT_READ_TOTAL,61,46,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
124,122000,122.000,CFG_DEFAULT_READ_TOTAL,61,46,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
125,123000,123.000,CFG_DEFAULT_READ_TOTAL,62,47,1,1,0,0x00,0,0x00,READ_CFG_TOTAL
126,124000,124.000,CFG_DEFAULT_READ_TOTAL,62,47,0,1,0,0x00,0,0x00,READ_CFG_TOTAL
127,125000,125.000,CFG_DEFAULT_READ_TOTAL,63,0,1,1,0,0x00,0,0x00,IDLE
128,126000,126.000,CFG_DEFAULT_READ_TOTAL,63,0,0,1,0,0x00,0,0x00,IDLE
129,127000,127.000,CFG_DEFAULT_READ_TOTAL,64,0,1,1,0,0x00,0,0x00,IDLE
130,128000,128.000,CFG_DEFAULT_READ_TOTAL,64,0,0,1,0,0x00,0,0x00,IDLE
131,129000,129.000,CFG_DEFAULT_READ_TOTAL,65,0,1,1,0,0x00,0,0x00,IDLE
132,130000,130.000,CFG_DEFAULT_READ_TOTAL,65,0,0,1,0,0x00,0,0x00,IDLE
133,130000,130.000,CFG_SINGLE_WRITE_READ,65,0,0,1,0,0x00,0,0x00,IDLE
134,131000,131.000,CFG_SINGLE_WRITE_READ,66,0,1,1,0,0x00,0,0x00,IDLE
135,132000,132.000,CFG_SINGLE_WRITE_READ,66,0,0,1,0,0x00,0,0x00,IDLE
136,133000,133.000,CFG_SINGLE_WRITE_READ,67,0,1,1,0,0x00,0,0x00,IDLE
137,134000,134.000,CFG_SINGLE_WRITE_READ,67,0,0,1,0,0x00,0,0x00,IDLE
138,135000,135.000,CFG_SINGLE_WRITE_READ,68,0,1,1,0,0x00,0,0x00,IDLE
139,136000,136.000,CFG_SINGLE_WRITE_READ,68,0,0,1,1,0x0E,0,0x00,IDLE
